INSTCODE	ACCENUMB	COLLNUMB	COLLCODE	COLLNAME	COLLINSTADDRESS	COLLMISSID	GENUS	SPECIES	SPAUTHOR	SUBTAXA	SUBTAUTHOR	CROPNAME	ACCENAME	ACQDATE	ORIGCTY	COLLSITE	DECLATITUDE	DECLONGITUDE	COORDUNCERT	COORDDATUM	GEOREFMETH	ELEVATION	COLLDATE	BREDCODE	BREDNAME	SAMPSTAT	ANCEST	COLLSRC	DONORCODE	DONORNAME	DONORNUMB	OTHERNUMB	DUPLSITE	DUPLINSTNAME	STORAGE	MLSSTAT	UUID	HISTORIC	ACCEURL	REMARKS
PHL001	IRGC 8245						Oryza	sativa	Linnaeus			rice	MACAN BINUNDOK	19620323	PHL		13,111389	121,047222															NOR051;USA995		12;13	1	f3d8fd4b-1b39-444a-b675-50b751f7ee0b			
PHL001	IRGC 8269						Oryza	sativa	Linnaeus			rice	NABESHI	19620323	TWN		23,6	120,653889															NOR051;USA995		12;13	1	0f05bab8-9de5-452d-a70d-63bbb1ca75d1			
PHL001	IRGC 8341						Oryza	sativa	Linnaeus			rice	DHOLA AMAN(LOWLAND AMAN)	19630617	BGD		23,611667	90,339722								500							NOR051;USA995		12;13	1	221c6fda-4837-49cc-b908-5d930623ffdb			
PHL001	IRGC 8952						Oryza	sativa	Linnaeus			rice	RATHUWEE	19630715	LKA		6,846389	80,031944								300							NOR051;USA995		12;13	1	b844cb44-c4f6-4a10-a951-a5c8a91ad21c			
PHL001	IRGC 9069						Oryza	sativa	Linnaeus			rice	JC148	19620323	IND		21,127778	82,800556								400							NOR051;USA995		12;13	1	acdc55c8-c657-44b2-a3eb-6c68f32e1875			
PHL001	IRGC 9070						Oryza	sativa	Linnaeus			rice	JC149	19620323	IND		21,127778	82,800556								400							NOR051;USA995		12;13	1	2a4425d4-dfa1-4d27-b292-f915f7b2fb97			
PHL001	IRGC 9175						Oryza	sativa	Linnaeus			rice	JC93	19620323	IND		21,127778	82,800556															NOR051;USA995		12;13	1	e017d6cd-74af-4d4a-80b9-c957b2b4cb4e			
PHL001	IRGC 9177						Oryza	sativa	Linnaeus			rice	JC91	19620323	IND		21,127778	82,800556								400							NOR051;USA995		12;13	1	55cc6621-ae39-4ab8-8e47-b228c5f4d9cc			
PHL001	IRGC 9389						Oryza	sativa	Linnaeus			rice	AMARELO	00000000	HUN		47,166944	19,508056															NOR051;USA995		12;13	1	3991d648-3e0c-4529-b695-6e27a3e9dc41			
PHL001	IRGC 9804						Oryza	sativa	Linnaeus			rice	TADUKAN	00000000	PHL		13,111389	121,047222								400							NOR051;USA995		12;13	1	56e5993f-3949-4a1a-b83e-adba21c38fd6			
